Event_ID,Article_ID,Actor_Normalized,Actor_Type,Victim_Normalized,Victim_Type,Location_Country,Location_City,Location_Coordinates,Date_Normalized,Taxonomy_L1,Taxonomy_L2,Taxonomy_L3,Weapon_Category,Deaths,Injuries,Severity,Event_Description,Actor_Confidence,Victim_Confidence,Location_Confidence,Date_Confidence,Classification_Confidence,Flagged_for_Review,Notes,Annotator_Name,PERPETRATOR,VICTIM,TARGET,ORGANIZATION,GOVERNMENT,EVENT_TYPE,ACTION,WEAPON,VIOLENCE_TYPE,DATE,TIME,DURATION,FREQUENCY,COUNTRY,REGION,CITY,DISTRICT,FACILITY,GEOGRAPHIC,COORDINATES,CASUALTIES,INJURED,DISPLACEMENT,DAMAGE,MOTIVE,TRIGGER
ENHANCED_ACLED_NIG35727,ENHANCED_ACLED_NIG35727,Military Forces of Nigeria (2023-,Armed Group,Zamfara Communal Militia (Nigeria,,Nigeria,Tsafe,"11.9555,6.9194",2024-03-27,Violence,bombardment,,artillery,,,High,"On 27 March 2024, Nigerian troops engaged a Zamfara militia led by Junaidu Fasagora in an armed clash in the Tsafe general area (Tsafe, Zamfara). The leader and scores of his followers were killed in the clash, the troops also used artillery bombardment. The leader and scores of fatalities coded as 21.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Military Forces of Nigeria (2023-,Zamfara Communal Militia (Nigeria,residential area,un,Nigerian troops,bombardment,killed,artillery,armed violence,2024-03-27,daytime,brief encounter,sporadic attacks,Nigeria,central Nigeria,Tsafe,general area,local buildings,the area,"11.9555,6.9194",21 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_SOM20387,ENHANCED_ACLED_SOM20387,armed men,Armed Group,Civilians (Somalia,,Somalia,Belet Weyne,"4.736,45.2043",2016-07-13,Violence,violence,,ied,,,High,"Unidentified armed men using pistols shot and injured a civilian in Halwadag Neighbourhood, West of Beletweyne town. The victim was rushed to hospital for medical treatment. The motive behind the incident was not clear. The perpetrators managed to escape.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,armed men,Civilians (Somalia,hospital,Un,Somalia security forces,violence,shot,ied,armed violence,2016-07-13,daytime,brief encounter,sporadic attacks,Somalia,West of,Belet Weyne,Belet Weyne area,hospital,the area,"4.736,45.2043",unknown casualties,injuries reported,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_MZM2809,ENHANCED_ACLED_MZM2809,Islamic State Mozambique (ISM,Armed Group,Civilians (Mozambique,,Mozambique,Chiure,"-13.377,39.9657",2022-06-12,Violence,attack,,small arms,,,High,"On 12 June 2022, Islamist militia attacked Retene in the district of Chiure (Chiure, Cabo Delgado). 70 houses and a church were burned and two civilians were killed. The Islamic State claimed the attack on a 'Christian village'.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Islamic State Mozambique (ISM,Civilians (Mozambique,village,un,Mozambique security forces,attack,attacked,small arms,armed violence,2022-06-12,daytime,brief encounter,sporadic attacks,Mozambique,in the district,Chiure,the district,church,the area,"-13.377,39.9657",2 killed,injuries unknown,no displacement reported,burned and,unknown motive,amid ongoing tensions
ENHANCED_ACLED_NIG26470,ENHANCED_ACLED_NIG26470,armed group,Armed Group,Military Forces of Nigeria (2015-2023,,Nigeria,Umunze,"5.964,7.2369",2022-09-28,Violence,attack,,ied,,,High,"On 28 September 2022, an unidentified armed group ambushed soldiers who were on a patrol and engaged them in an armed clash near Nkwo market at Enugu Umunze (Orumba South, Anambra). Five soldiers were killed, one civilian was killed by stray bullets. Some sources report that two civilians were also killed, others report that between 2 to 4 soldiers and one unidentified person were killed. Fatalities coded as 2. IPOB denied responsibility for the attack and accused the Nigerian army of linking the group to the attack out of hatred.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,armed group,Military Forces of Nigeria (2015-2023,market,un,ambushed soldiers,attack,ambushed,ied,armed violence,2022-09-28,daytime,brief encounter,sporadic attacks,Nigeria,central Nigeria,Umunze,Umunze area,market,bush,"5.964,7.2369",2 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_ETH13353,ENHANCED_ACLED_ETH13353,Military Forces of Ethiopia (2018-,Armed Group,Civilians (Ethiopia,,Ethiopia,Koker,"11.2418,37.4162",2024-08-13,Violence,killing,,small arms,,,High,"Around 13 August 2024 (as reported), suspected ENDF killed 5 civilians (fatalities uncorroborated) in Koker kebele (Adete town, West Gojam, Amhara). No further information available.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Military Forces of Ethiopia (2018-,Civilians (Ethiopia,town,un,ENDF,killing,killed,small arms,armed violence,2024-08-13,daytime,brief encounter,sporadic attacks,Ethiopia,West Gojam,Koker,Koker area,local buildings,the area,"11.2418,37.4162",5 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_SSD14563,ENHANCED_ACLED_SSD14563,communal militia,Armed Group,Civilians (South Sudan,,South Sudan,Malakal UNMISS Protection of Civilians site,"9.5659,31.6784",2023-12-29,Violence,raid,,ied,,,High,"On 29 December 2023, unidentified individuals (coded as unidentified communal militia) raided an unknown number of cattle from an area of about 5000 meters from the Malakal UNMISS Protection of Civilians site in Eastern Malakal Payam (Malakal, Upper Nile). 1 cattle keeper was killed.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,communal militia,Civilians (South Sudan,residential area,un,South Sudan security forces,raid,raided,ied,communal violence,2023-12-29,daytime,brief encounter,sporadic attacks,South Sudan,central South Sudan,Malakal UNMISS Protection of Civilians site,an area,local buildings,the area,"9.5659,31.6784",1 killed,injuries unknown,no displacement reported,damage unknown,resource conflict,amid ongoing tensions
ENHANCED_ACLED_ETH8549,ENHANCED_ACLED_ETH8549,Police Forces of Ethiopia (2018-) Amhara State Police,Armed Group,Unidentified Armed Group (Ethiopia,,Ethiopia,Metema,"12.9521,36.1563",2022-06-02,Violence,killing,,small arms,,,High,"On 2 June 2022, police forces, Kebele Communal Militia and ENDF clashed with an armed group at Gordem mountain in Meka kebele in Metema woreda in West Gondar zone in Amhara region, killing two members of the armed group and captured two others. Location not found, coded to Metema (West Gondar, Amhara).",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Police Forces of Ethiopia (2018-) Amhara State Police,Unidentified Armed Group (Ethiopia,residential area,un,police forces,killing,captured,small arms,communal violence,2022-06-02,daytime,brief encounter,sporadic attacks,Ethiopia,in Amhara region,Metema,Metema woreda,local buildings,Gordem mountain,"12.9521,36.1563",2 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_NIG21941,ENHANCED_ACLED_NIG21941,armed men,Armed Group,Civilians (Nigeria,,Nigeria,Takum,"7.2536,9.9824",2021-09-11,Violence,attack,,ied,,,High,"On 11 September 2021, unidentified armed men attacked a border community between Taraba and Benue states; one person was killed and an unspecified number of people were abducted, residents of the community fled to Koffi Ahmadu (Takum, Taraba state). Location coded to Takum.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,armed men,Civilians (Nigeria,community,un,Nigeria security forces,attack,attacked,ied,armed violence,2021-09-11,daytime,brief encounter,sporadic attacks,Nigeria,and Benue state,Takum,Takum area,local buildings,border,"7.2536,9.9824",1 killed,injuries unknown,displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_SUD13558,ENHANCED_ACLED_SUD13558,Maaliya Ethnic Militia (Sudan,Armed Group,Civilians (Sudan,,Sudan,Murnei,"12.9542,22.8669",2019-12-30,Violence,attack,,small arms,,,High,"On 30 December 2019, Maaliya pastoralists attacked Murnei, Kereinkik and Sultan House IDP camps (West Darfur) amidst serious violence directed against Masalit IDPs. UNAMID estimates say at least 65 were killed and over 50 injured (other reports suggest significantly higher injuries). Three events coded with three fatalities each (other fatalities from UNAMID estimates spread across separate events), with coordinates for Durti (West Darfur) used for Sultan House camp.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Maaliya Ethnic Militia (Sudan,Civilians (Sudan,IDP camps,UNAMID,Sudan security forces,attack,attacked,small arms,armed violence,2019-12-30,daytime,brief encounter,sporadic attacks,Sudan,West Darfur,Murnei,Murnei area,IDP camps,the area,"12.9542,22.8669",3 killed,over 50 injured,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_NIG28279,ENHANCED_ACLED_NIG28279,Black Axe (Nigeria,Armed Group,Supreme Vikings Confraternity (Nigeria,,Nigeria,Aba,"5.1066,7.3667",2020-10-18,Violence,clashe,,small arms,,,High,"On 18 October 2020, Aye and Aro/Supreme Vikings groups clashed in Omuma area, Ama-Ogbonna, Aba South LGA (Abis), coded to Aba. 3 people were killed (the body of the 3rd victim was found along Aba-Owerri Road).",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Black Axe (Nigeria,Supreme Vikings Confraternity (Nigeria,residential area,un,Nigeria security forces,clashe,killed,small arms,armed violence,2020-10-18,daytime,brief encounter,sporadic attacks,Nigeria,South LGA,Aba,South LGA,local buildings,the area,"5.1066,7.3667",3 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_SUD16778,ENHANCED_ACLED_SUD16778,Jebel militia,Armed Group,Misseriya Jebel Ethnic Militia (Sudan,,Sudan,Manjura,"13.9981,22.5204",2022-03-10,Violence,attack,,ied,,,High,"On 10 March 2022, fighting began between an unspecified ethnic group and a Misseriya Jebel militia in Bardi and Ghobeish (locations not found) and Fari, east of Sileia, Manjura (Jebel Moon locality, West Darfur state), and Kushkush after the unidentified group attacked the villages. At least 20 people were killed, several others were injured and four villages including Iqra and Kafana were burnt down. Fatalities spilt between three events. The motive is unknown.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Jebel militia,Misseriya Jebel Ethnic Militia (Sudan,village,un,Sudan security forces,attack,attacked,ied,ethnic violence,2022-03-10,daytime,brief encounter,sporadic attacks,Sudan,West Darfur state,Manjura,Moon locality,local buildings,the area,"13.9981,22.5204",6 killed,injuries reported,no displacement reported,burnt down,ethnic tensions,following previous incidents
ENHANCED_ACLED_NIG9347,ENHANCED_ACLED_NIG9347,gunmen,Armed Group,Civilians (Nigeria,,Nigeria,Egbeda,"7.3667,4.05",2016-07-01,Violence,violence,,ied,,,High,"A lawmaker representing Oorelope constituency in the Oyo State House of Assembly, Hon. Gideon Aremu, was shot dead by yet-to-be-identified gunmen at Alakia, in the Egbeda Local Government Area of Oyo State on Friday evening.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,gunmen,Civilians (Nigeria,residential area,un,Nigeria security forces,violence,shot,ied,armed violence,2016-07-01,evening,brief encounter,sporadic attacks,Nigeria,the Oyo State,Egbeda,Government Area,local buildings,the area,"7.3667,4.05",1 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_MZM1897,ENHANCED_ACLED_MZM1897,Islamic State Central Africa Province (ISCAP,Armed Group,Civilians (Mozambique,,Mozambique,Pundanhar,"-10.8947,40.0611",2020-10-26,Violence,attack,,firearms,,,High,"On 26 October 2020, a sergeant from the Border Guard Unit of the police was killed during an attack by members of an Islamist militia in Pundanhar (Palma, Cabo Delgado). The official was found sick and hiding (assumed unarmed). Several houses were set on fire.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,Islamic State Central Africa Province (ISCAP,Civilians (Mozambique,residential area,Un,police,attack,killed,firearms,armed violence,2020-10-26,daytime,brief encounter,sporadic attacks,Mozambique,central Mozambique,Pundanhar,Pundanhar area,local buildings,the Border,"-10.8947,40.0611",1 killed,injuries unknown,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
ENHANCED_ACLED_GHA1102,ENHANCED_ACLED_GHA1102,gunmen,Armed Group,Civilians (Ghana,,Ghana,Banda,"8.1645,-2.3569",2020-08-04,Violence,attack,,ied,,,High,"On 4 August 2020, unidentified gunmen attacked a voter registration center in Akayakrom in Banda District (Bono). No fatalities and/or injuries reported.",0.95,0.95,0.95,0.95,0.95,False,Enhanced ACLED data with full entity extraction,VioNER-Enhancer-v1,gunmen,Civilians (Ghana,residential area,un,Ghana security forces,attack,attacked,ied,armed violence,2020-08-04,daytime,brief encounter,sporadic attacks,Ghana,in Banda District,Banda,Banda District,local buildings,the area,"8.1645,-2.3569",unknown casualties,injuries reported,no displacement reported,damage unknown,unknown motive,amid ongoing tensions
