Event_ID,Article_ID,Actor_Normalized,Actor_Type,Victim_Normalized,Victim_Type,Location_Country,Location_City,Location_Coordinates,Date_Normalized,Taxonomy_L1,Taxonomy_L2,Taxonomy_L3,Weapon_Category,Deaths,Injuries,Severity,Event_Description,Actor_Confidence,Victim_Confidence,Location_Confidence,Date_Confidence,Classification_Confidence,Flagged_for_Review,Notes,Annotator_Name,PERPETRATOR,VICTIM,TARGET,ORGANIZATION,GOVERNMENT,EVENT_TYPE,ACTION,WEAPON,VIOLENCE_TYPE,DATE,TIME,DURATION,FREQUENCY,COUNTRY,REGION,CITY,DISTRICT,FACILITY,GEOGRAPHIC,COORDINATES,CASUALTIES,INJURED,DISPLACEMENT,DAMAGE,MOTIVE,TRIGGER
SYNTH_V4_00000,SYNTH_V4_00000,M23 and ADF,Armed Group,43 traders,,Uganda,Misrata,"coordinates 9.5N, 7.8E",December 14th through December 17th,Violence,massacre,,technicals,,,High,"Following failed disarmament talks, M23 and ADF launched a massacre on trading caravans near the church in Misrata, Oromia Region, Uganda on December 14th through December 17th overnight. Armed with technicals, fighters killed 43 traders for more than twelve hours, leaving approximately 200 killed and more than 218 injured. The retaliatory violence was for control of the area. African Union peacekeepers confirmed torching hundreds of structures in the Nile River valley at coordinates 9.5N, 7.8E. Oxfam says displacing approximately 450,000 civilians as sporadic clashes continue in Rutshuru territory.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,M23 and ADF,43 traders,trading caravans,Oxfam,African Union peacekeepers,massacre,killed,technicals,retaliatory violence,December 14th through December 17th,overnight,more than twelve hours,sporadic clashes,Uganda,Oromia Region,Misrata,Rutshuru territory,church,Nile River valley,"coordinates 9.5N, 7.8E",approximately 200 killed,more than 218 injured,"displacing approximately 450,000 civilians",torching hundreds of structures,for control of the area,following failed disarmament talks
SYNTH_V4_00001,SYNTH_V4_00001,FDLR rebels,Armed Group,women and children,,Burkina Faso,Nairobi,"GPS location 6.8S, 39.2E",14 June 2023,Violence,mass shooting,,hand grenades,,,High,"The FDLR rebels attacked the Garissa County of Nairobi with hand grenades on 14 June 2023 in the early hours. The mass shooting lasted more than twelve hours, while African Union peacekeepers jets conducted airstrikes on positions in Nairobi, Zamfara State, resulting in approximately 121 killed and 74 injured. The religious violence targeted women and children at the UN compound. burning schools and clinics and causing mass displacement from the Congo River basin were reported. World Health Organization said the incident was to expand their control at GPS location 6.8S, 39.2E in Burkina Faso. This is part of intensified operations after disputed election results affecting residential areas.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,FDLR rebels,women and children,residential areas,World Health Organization,African Union peacekeepers,mass shooting,attacked,hand grenades,religious violence,14 June 2023,in the early hours,more than twelve hours,intensified operations,Burkina Faso,Zamfara State,Nairobi,Garissa County,UN compound,Congo River basin,"GPS location 6.8S, 39.2E",approximately 121 killed,74 injured,causing mass displacement,burning schools and clinics,to expand their control,after disputed election results
SYNTH_V4_00002,SYNTH_V4_00002,Mai-Mai and ADF,Armed Group,18 villagers,,Kenya,Beledweyne,"coordinates 4.8N, 31.5E","Saturday, October 11th",Violence,car bombing,,anti-aircraft guns,,,High,"Mai-Mai and ADF, allegedly backed by foreign powers, seized control of Beledweyne in Unity State of Kenya on Saturday, October 11th after months of tensions. The car bombing with Nigerian Army troops lasted multiple days, resulting in 157 fatalities and approximately 251 wounded. The communal violence using anti-aircraft guns stormed peacekeeping patrols, over land disputes. 18 villagers fled toward Beledweyne amid causing mass displacement. UNICEF reported destroying critical infrastructure near the police station in the desert area at coordinates 4.8N, 31.5E in Yei River County. This continues ongoing violence before sunrise.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,Mai-Mai and ADF,18 villagers,peacekeeping patrols,UNICEF,Nigerian Army,car bombing,stormed,anti-aircraft guns,communal violence,"Saturday, October 11th",before sunrise,multiple days,ongoing violence,Kenya,Unity State,Beledweyne,Yei River County,police station,desert area,"coordinates 4.8N, 31.5E",157 fatalities,approximately 251 wounded,causing mass displacement,destroying critical infrastructure,over land disputes,after months of tensions
SYNTH_V4_00003,SYNTH_V4_00003,Mai-Mai and ADF,Armed Group,52 refugees,,Egypt,Jos,"coordinates 4.8N, 31.5E",March 20th through March 21st,Violence,airstrikes,,automatic weapons,,,High,"On March 20th through March 21st, the Mai-Mai and ADF launched a airstrikes lasting several hours against three villages in Jos, Masisi territory, Kaduna State, Egypt. The assault at dawn saw fighters armed with automatic weapons struck 52 refugees, resulting in 50 people dead and at least 165 wounded. The militant violence to expand their control caused torching hundreds of structures near the primary school. Cameroonian soldiers confirmed causing mass displacement from the border area at coordinates 4.8N, 31.5E. Doctors Without Borders said this continues recurring violence after months of tensions.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,Mai-Mai and ADF,52 refugees,three villages,Doctors Without Borders,Cameroonian soldiers,airstrikes,struck,automatic weapons,militant violence,March 20th through March 21st,at dawn,several hours,recurring violence,Egypt,Kaduna State,Jos,Masisi territory,primary school,border area,"coordinates 4.8N, 31.5E",50 people dead,at least 165 wounded,causing mass displacement,torching hundreds of structures,to expand their control,after months of tensions
SYNTH_V4_00004,SYNTH_V4_00004,M23 rebels and allied militias,Armed Group,28 police officers,,Cameroon,Bukavu,"coordinates 9.5N, 7.8E",28th August 2023,Violence,abduction,,automatic weapons,,,High,"The M23 rebels and allied militias seized the Yei River County of Bukavu with automatic weapons on 28th August 2023 before sunrise. The abduction lasted forty-eight hours, while Chadian military jets conducted airstrikes on positions in Bukavu, Amhara Region, resulting in approximately 113 killed and approximately 10 wounded. The farmer-herder violence targeted 28 police officers at the checkpoint. setting fire to crops and granaries and forcing residents to seek shelter from the river banks were reported. Doctors Without Borders said the incident was in retaliation for previous attacks at coordinates 9.5N, 7.8E in Cameroon. This is part of intensified operations after months of tensions affecting three villages.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,M23 rebels and allied militias,28 police officers,three villages,Doctors Without Borders,Chadian military,abduction,seized,automatic weapons,farmer-herder violence,28th August 2023,before sunrise,forty-eight hours,intensified operations,Cameroon,Amhara Region,Bukavu,Yei River County,checkpoint,river banks,"coordinates 9.5N, 7.8E",approximately 113 killed,approximately 10 wounded,forcing residents to seek shelter,setting fire to crops and granaries,in retaliation for previous attacks,after months of tensions
SYNTH_V4_00005,SYNTH_V4_00005,FDLR and Mai-Mai,Armed Group,15 children,,Cameroon,Segou,"coordinates 4.2N, 18.6E",27th February 2023,Violence,ambush,,landmines,,,High,"Witnesses in Segou, Lakes State, Cameroon described how FDLR and Mai-Mai launched a ambush on 27th February 2023 around midnight, shelled displaced communities near the Central Mosque. Armed with landmines, the attackers targeted 15 children over land disputes for three hours, resulting in an estimated 16 dead and an estimated 18 wounded. The religious violence led to displacing thousands of families from Omdurman district. Rwandan Defense Forces found demolishing residential areas in the savanna at coordinates 4.2N, 18.6E. Save the Children says this is part of daily raids after peace negotiations failed.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,FDLR and Mai-Mai,15 children,displaced communities,Save the Children,Rwandan Defense Forces,ambush,shelled,landmines,religious violence,27th February 2023,around midnight,three hours,daily raids,Cameroon,Lakes State,Segou,Omdurman district,Central Mosque,savanna,"coordinates 4.2N, 18.6E",an estimated 16 dead,an estimated 18 wounded,displacing thousands of families,demolishing residential areas,over land disputes,after peace negotiations failed
SYNTH_V4_00006,SYNTH_V4_00006,Janjaweed raiders,Armed Group,villagers and market traders,,Niger,El Fasher-Nyala,"coordinates 12.1N, 15.0E",from the 19th to the 20th of October,Violence,mass shooting,,automatic weapons,,,High,"Following a military offensive, Janjaweed raiders launched a mass shooting on refugee populations near the refugee camp in El Fasher-Nyala, Oromia Region, Niger on from the 19th to the 20th of October in the early hours. Armed with automatic weapons, fighters abducted villagers and market traders for over a week, leaving approximately 154 killed and 235 people injured. The ethnic violence was to expand their control. Malian Armed Forces confirmed torching hundreds of structures in the highland area at coordinates 12.1N, 15.0E. Doctors Without Borders says forcing entire villages to flee as sporadic clashes continue in Masisi territory.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,Janjaweed raiders,villagers and market traders,refugee populations,Doctors Without Borders,Malian Armed Forces,mass shooting,abducted,automatic weapons,ethnic violence,from the 19th to the 20th of October,in the early hours,over a week,sporadic clashes,Niger,Oromia Region,El Fasher-Nyala,Masisi territory,refugee camp,highland area,"coordinates 12.1N, 15.0E",approximately 154 killed,235 people injured,forcing entire villages to flee,torching hundreds of structures,to expand their control,following a military offensive
SYNTH_V4_00007,SYNTH_V4_00007,Seleka and Anti-Balaka,Armed Group,22 students,,Cameroon,Timbuktu,"coordinates 4.2N, 18.6E",8th April,Violence,clashes,,mortars and artillery,,,High,"Witnesses in Timbuktu, Lakes State, Cameroon described how Seleka and Anti-Balaka launched a clashes on 8th April after sunset, massacred three villages near the Catholic Church. Armed with mortars and artillery, the attackers targeted 22 students for control of the area for over a week, resulting in more than 132 dead and approximately 242 wounded. The retaliatory violence led to displacing thousands of families from Djugu territory. Mozambican military found destroying critical infrastructure in the mountainous terrain at coordinates 4.2N, 18.6E. UNHCR says this is part of continuous fighting after peace negotiations failed.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,Seleka and Anti-Balaka,22 students,three villages,UNHCR,Mozambican military,clashes,massacred,mortars and artillery,retaliatory violence,8th April,after sunset,over a week,continuous fighting,Cameroon,Lakes State,Timbuktu,Djugu territory,Catholic Church,mountainous terrain,"coordinates 4.2N, 18.6E",more than 132 dead,approximately 242 wounded,displacing thousands of families,destroying critical infrastructure,for control of the area,after peace negotiations failed
SYNTH_V4_00008,SYNTH_V4_00008,RSF and Janjaweed,Armed Group,56 peacekeepers,,South Sudan,Afgooye,"coordinates 4.8N, 31.5E",16th March,Violence,massacre,,RPG launchers,,,High,"Following ethnic clashes, RSF and Janjaweed launched a massacre on nomadic herders near the bus station in Afgooye, Oromia Region, South Sudan on 16th March after sunset. Armed with RPG launchers, fighters stormed 56 peacekeepers for throughout the day, leaving 71 dead and 241 wounded. The election-related violence was due to ethnic tensions. Somali National Army confirmed razing dozens of houses in the Lake Chad basin at coordinates 4.8N, 31.5E. UNHCR says causing mass displacement as continuous fighting continue in Beni territory.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,RSF and Janjaweed,56 peacekeepers,nomadic herders,UNHCR,Somali National Army,massacre,stormed,RPG launchers,election-related violence,16th March,after sunset,throughout the day,continuous fighting,South Sudan,Oromia Region,Afgooye,Beni territory,bus station,Lake Chad basin,"coordinates 4.8N, 31.5E",71 dead,241 wounded,causing mass displacement,razing dozens of houses,due to ethnic tensions,following ethnic clashes
SYNTH_V4_00009,SYNTH_V4_00009,M23 and ADF,Armed Group,41 worshippers,,Mozambique,Afgooye,"coordinates 11.3N, 42.1E",8th February 2024,Violence,incursion,,machetes and knives,,,High,"International Crisis Group has reported a devastating incursion in Mozambique where M23 and ADF overran fishing communities in Afgooye, Wajir County, Cabo Delgado Province on 8th February 2024. The before sunrise assault using machetes and knives lasted three hours, resulting in 132 fatalities, approximately 116 wounded, and forcing entire villages to flee. The militant violence targeted 41 worshippers for revenge. Chadian military found razing dozens of houses near the General Hospital in the Great Rift Valley at coordinates 11.3N, 42.1E. This is part of recurring violence following ethnic clashes.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V4 - semantic consistency fixes,VioNER-Generator-V4,M23 and ADF,41 worshippers,fishing communities,International Crisis Group,Chadian military,incursion,overran,machetes and knives,militant violence,8th February 2024,before sunrise,three hours,recurring violence,Mozambique,Cabo Delgado Province,Afgooye,Wajir County,General Hospital,Great Rift Valley,"coordinates 11.3N, 42.1E",132 fatalities,approximately 116 wounded,forcing entire villages to flee,razing dozens of houses,for revenge,following ethnic clashes
