Event_ID,Article_ID,Actor_Normalized,Actor_Type,Victim_Normalized,Victim_Type,Location_Country,Location_City,Location_Coordinates,Date_Normalized,Taxonomy_L1,Taxonomy_L2,Taxonomy_L3,Weapon_Category,Deaths,Injuries,Severity,Event_Description,Actor_Confidence,Victim_Confidence,Location_Confidence,Date_Confidence,Classification_Confidence,Flagged_for_Review,Notes,Annotator_Name,PERPETRATOR,VICTIM,TARGET,ORGANIZATION,GOVERNMENT,EVENT_TYPE,ACTION,WEAPON,VIOLENCE_TYPE,DATE,TIME,DURATION,FREQUENCY,COUNTRY,REGION,CITY,DISTRICT,FACILITY,GEOGRAPHIC,COORDINATES,CASUALTIES,INJURED,DISPLACEMENT,DAMAGE,MOTIVE,TRIGGER
CLEAN_e22a700f,CLEAN_e22a700f,Ambazonia separatists,Armed Group,85 students,,Cameroon,Bamenda,"coordinates 12.4N, 8.5E",Wednesday,Violence,raid,,machine guns,,,High,"In a devastating raid, Ambazonia separatists armed with machine guns attacked mosques in Bamenda, Mezam Division, North-West Region on Wednesday during the around midnight, killing 186 people, wounding 119 others, and displacing over 36713 residents. The bandit attack lasted for prolonged engagement as fighters beheaded 85 students, to destabilize the region. Cameroonian soldiers confirmed the incident near the border highlands, Cameroon, at coordinates 12.4N, 8.5E. Catholic Relief Services staff at a nearby military base reported torching hundreds of homes. This is part of repeated attacks after months of rising tensions.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Ambazonia separatists,85 students,mosques,Catholic Relief Services,Cameroonian soldiers,raid,beheaded,machine guns,bandit attack,Wednesday,around midnight,prolonged engagement,repeated attacks,Cameroon,North-West Region,Bamenda,Mezam Division,military base,the border highlands,"coordinates 12.4N, 8.5E",killing 186 people,wounding 119 others,displacing over 36713 residents,torching hundreds of homes,to destabilize the region,after months of rising tensions
CLEAN_716716bb,CLEAN_716716bb,armed jihadists,Armed Group,55 fishermen,,Burkina Faso,Dori,"grid reference 0.3N, 32.6E",Thursday,Violence,bombing,,rocket-propelled grenades,,,High,"Survivors described a bombing by armed jihadists in Seno Province, Dori, Centre-Nord, Burkina Faso on Thursday at dawn, where armed fighters with rocket-propelled grenades raided government buildings near a army barracks, killing 116 people including fishermen, and wounding 40 others. The prolonged engagement of militant attack to destabilize the region led to displacing over 37178 residents from villages near the Sahel belt at grid reference 0.3N, 32.6E. Burkinabe military found burning several shops. Islamic Relief says this continues daily raids after disputed election results.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,armed jihadists,55 fishermen,government buildings,Islamic Relief,Burkinabe military,bombing,raided,rocket-propelled grenades,militant attack,Thursday,at dawn,prolonged engagement,daily raids,Burkina Faso,Centre-Nord,Dori,Seno Province,army barracks,the Sahel belt,"grid reference 0.3N, 32.6E",killing 116 people,wounding 40 others,displacing over 37178 residents,burning several shops,to destabilize the region,after disputed election results
CLEAN_098fa790,CLEAN_098fa790,LRA remnants,Armed Group,32 villagers,,Uganda,Kasese,"coordinates 4.8S, 29.2E",Tuesday evening,Violence,suicide bombing,,mortars,,,High,"Following a military offensive, LRA remnants launched a suicide bombing on mosques and a mosque in Kasese, Kasese area of Northern Region, Uganda, on Tuesday evening in the afternoon. Armed with mortars, militants stormed 32 villagers to extort money from residents, killing 156 people and wounding 123 others. The brief but deadly skirmish near the area at coordinates 4.8S, 29.2E led to displacing over 17043 residents. UPDF forces reported razing dozens of houses from the communal violence. Catholic Relief Services confirmed this as part of escalating raids in the area.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,LRA remnants,32 villagers,mosques,Catholic Relief Services,UPDF forces,suicide bombing,stormed,mortars,communal violence,Tuesday evening,afternoon,brief but deadly skirmish,escalating raids,Uganda,Northern Region,Kasese,Kasese area,mosque,the area,"coordinates 4.8S, 29.2E",killing 156 people,wounding 123 others,displacing over 17043 residents,razing dozens of houses,to extort money from residents,following a military offensive
CLEAN_dd460db0,CLEAN_dd460db0,ISGS militants,Armed Group,71 aid workers,,Mali,Mopti,"grid reference 0.3N, 32.6E",Tuesday evening,Violence,incursion,,assault rifles,,,High,"Survivors described an incursion by ISGS militants in Ansongo cercle, Mopti, Kidal Region, Mali on Tuesday evening afternoon, where armed fighters with assault rifles shelled farming communities near a prison, killing 55 people including aid workers, and wounding 61 others. The hours-long battle of militant attack over land disputes led to displacing over 49823 residents from villages near the river delta at grid reference 0.3N, 32.6E. Malian military found setting ablaze storage facilities. Catholic Relief Services says this continues ongoing violence following a cattle rustling incident.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,ISGS militants,71 aid workers,farming communities,Catholic Relief Services,Malian military,incursion,shelled,assault rifles,militant attack,Tuesday evening,afternoon,hours-long battle,ongoing violence,Mali,Kidal Region,Mopti,Ansongo cercle,prison,the river delta,"grid reference 0.3N, 32.6E",killing 55 people,wounding 61 others,displacing over 49823 residents,setting ablaze storage facilities,over land disputes,following a cattle rustling incident
CLEAN_610d7176,CLEAN_610d7176,bandits,Armed Group,117 travelers,,Nigeria,Kaduna,"location 15.6N, 32.5E",October 10,Violence,raid,,suicide vests,,,High,"After a land boundary dispute, bandits armed using suicide vests launched a raid on mosques near warehouse in Bama LGA, Kaduna, Zamfara State, Nigeria on October 10 early morning. The hours-long battle resulted in killing 155 people and wounding 62 others, while also displacing over 37256 residents. Witnesses reported that fighters ransacked travelers for control of resources. Nigerian military arrived later but found destroying over 50 homes. The attack near Lake Chad basin at location 15.6N, 32.5E marks part of weekly incursions in the area. CARE International has condemned the communal violence.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,bandits,117 travelers,mosques,CARE International,Nigerian military,raid,ransacked,suicide vests,communal violence,October 10,early morning,hours-long battle,weekly incursions,Nigeria,Zamfara State,Kaduna,Bama LGA,warehouse,Lake Chad basin,"location 15.6N, 32.5E",killing 155 people,wounding 62 others,displacing over 37256 residents,destroying over 50 homes,for control of resources,after a land boundary dispute
CLEAN_29b87d58,CLEAN_29b87d58,Anglophone separatists,Armed Group,43 health workers,,Cameroon,Maroua,"coordinates 8.9N, 38.7E",February 20,Violence,ambush,,AK-47 rifles,,,High,"Following the breakdown of a ceasefire, Anglophone separatists armed with AK-47 rifles launched an ambush on farms near clinic in Mezam Division, Maroua, Far North Region, Cameroon on February 20 before dawn. The hours-long battle resulted in killing 20 people and wounding 106 others, while also displacing over 22243 residents. Witnesses reported that fighters looted health workers to destabilize the region. Cameroonian military arrived later but found demolishing public buildings. The attack near the forest zone at coordinates 8.9N, 38.7E marks part of persistent attacks in the area. Mercy Corps has condemned the insurgent attack.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Anglophone separatists,43 health workers,farms,Mercy Corps,Cameroonian military,ambush,looted,AK-47 rifles,insurgent attack,February 20,before dawn,hours-long battle,persistent attacks,Cameroon,Far North Region,Maroua,Mezam Division,clinic,the forest zone,"coordinates 8.9N, 38.7E",killing 20 people,wounding 106 others,displacing over 22243 residents,demolishing public buildings,to destabilize the region,following the breakdown of a ceasefire
CLEAN_d70f1c1c,CLEAN_d70f1c1c,RSF fighters,Armed Group,29 students,,Sudan,Kassala,"GPS location 6.5N, 3.4E",October 10,Violence,assault,,suicide vests,,,High,"After months of rising tensions, RSF fighters launched an assault on residential areas and a army barracks in Kassala, Kebkabiya locality of Blue Nile State, Sudan, on October 10 in the late night. Armed using suicide vests, militants beheaded 29 students to destabilize the region, killing 99 people and wounding 81 others. The two-hour siege near the border area at GPS location 6.5N, 3.4E led to displacing over 45019 residents. SAF troops reported destroying infrastructure from the communal violence. World Food Programme confirmed this as part of weekly incursions in the area.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,RSF fighters,29 students,residential areas,World Food Programme,SAF troops,assault,beheaded,suicide vests,communal violence,October 10,late night,two-hour siege,weekly incursions,Sudan,Blue Nile State,Kassala,Kebkabiya locality,army barracks,the border area,"GPS location 6.5N, 3.4E",killing 99 people,wounding 81 others,displacing over 45019 residents,destroying infrastructure,to destabilize the region,after months of rising tensions
CLEAN_b17b1ef7,CLEAN_b17b1ef7,LRA remnants,Armed Group,72 farmers,,Uganda,Kampala,"coordinates 4.8S, 29.2E",April 8,Violence,attack,,small arms,,,High,"Survivors described an attack by LRA remnants in Kampala area, Kampala, Western Region, Uganda on April 8 mid-morning, where armed fighters with small arms abducted government buildings near a secondary school, killing 91 people including farmers, and wounding 115 others. The three-hour assault of terrorist attack to destabilize the region led to displacing over 32812 residents from villages near the area at coordinates 4.8S, 29.2E. UPDF forces found destroying the local school. World Food Programme says this continues daily raids after months of rising tensions.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,LRA remnants,72 farmers,government buildings,World Food Programme,UPDF forces,attack,abducted,small arms,terrorist attack,April 8,mid-morning,three-hour assault,daily raids,Uganda,Western Region,Kampala,Kampala area,secondary school,the area,"coordinates 4.8S, 29.2E",killing 91 people,wounding 115 others,displacing over 32812 residents,destroying the local school,to destabilize the region,after months of rising tensions
CLEAN_e02e7d5b,CLEAN_e02e7d5b,armed youth groups,Armed Group,136 fishermen,,South Sudan,Yei,"coordinates 4.8S, 29.2E",Wednesday night,Violence,armed assault,,roadside bombs,,,High,"After months of rising tensions, armed youth groups launched an armed assault on churches and a refugee camp in Yei, Mayom County of Unity State, South Sudan, on Wednesday night in the at dusk. Armed using roadside bombs, militants stormed 136 fishermen over grazing rights, killing 68 people and wounding 98 others. The brief but deadly skirmish near the border region at coordinates 4.8S, 29.2E led to displacing over 30400 residents. SSPDF forces reported razing dozens of houses from the militant attack. Islamic Relief confirmed this as part of repeated attacks in the area.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,armed youth groups,136 fishermen,churches,Islamic Relief,SSPDF forces,armed assault,stormed,roadside bombs,militant attack,Wednesday night,at dusk,brief but deadly skirmish,repeated attacks,South Sudan,Unity State,Yei,Mayom County,refugee camp,the border region,"coordinates 4.8S, 29.2E",killing 68 people,wounding 98 others,displacing over 30400 residents,razing dozens of houses,over grazing rights,after months of rising tensions
CLEAN_03b8243f,CLEAN_03b8243f,Nuer militia,Armed Group,34 miners,,South Sudan,Bor,"coordinates 8.9N, 38.7E",Wednesday,Violence,armed attack,,small arms,,,High,"Following the collapse of peace talks, Nuer militia launched an armed attack on markets and a refugee camp in Bor, Rubkona County of Central Equatoria, South Sudan, on Wednesday in the mid-morning. Armed with small arms, militants executed 34 miners for control of resources, killing 119 people and wounding 63 others. The two-hour siege near the White Nile at coordinates 8.9N, 38.7E led to displacing over 30819 residents. South Sudanese military reported burning several shops from the ethnic violence. World Food Programme confirmed this as part of sporadic clashes in the area.",0.99,0.99,0.99,0.99,0.99,False,Clean synthetic training data v2,VioNER-Generator-v2,Nuer militia,34 miners,markets,World Food Programme,South Sudanese military,armed attack,executed,small arms,ethnic violence,Wednesday,mid-morning,two-hour siege,sporadic clashes,South Sudan,Central Equatoria,Bor,Rubkona County,refugee camp,the White Nile,"coordinates 8.9N, 38.7E",killing 119 people,wounding 63 others,displacing over 30819 residents,burning several shops,for control of resources,following the collapse of peace talks
